ID,L_open,R_closed,IndR,IndD,Cov,Trt,R_Label
1,0,2.6724151169410905e-4,1,0,0.981969411350441,1,Recurrent1
1,2.6724151169410905e-4,0.07249821621287038,1,0,0.981969411350441,1,Recurrent2
1,0.07249821621287038,0.2232597409763213,1,0,0.981969411350441,1,Recurrent3
1,0.2232597409763213,0.3200274463934225,0,1,0.981969411350441,1,Failure
2,0,0.3419646355187143,1,0,0.4687150400360872,0,Recurrent1
2,0.3419646355187143,0.5030762466210761,1,0,0.4687150400360872,0,Recurrent2
2,0.5030762466210761,0.6425875223679468,1,0,0.4687150400360872,0,Recurrent3
2,0.6425875223679468,0.7230921088288338,1,0,0.4687150400360872,0,Recurrent4
2,0.7230921088288338,0.8148293301371371,1,0,0.4687150400360872,0,Recurrent5
2,0.8148293301371371,1.9055234076844791,0,1,0.4687150400360872,0,Failure
3,0,0.23619876781683638,0,1,-0.10797133221644341,1,Failure
4,0,0.153245599829587,1,0,-0.21287816897120662,0,Recurrent1
4,0.153245599829587,0.387320805755092,1,0,-0.21287816897120662,0,Recurrent2
4,0.387320805755092,0.7427290178597046,1,0,-0.21287816897120662,0,Recurrent3
4,0.7427290178597046,0.9004116317730145,1,0,-0.21287816897120662,0,Recurrent4
4,0.9004116317730145,1.2267342873681217,1,0,-0.21287816897120662,0,Recurrent5
4,1.2267342873681217,3.511529363458976,0,0,-0.21287816897120662,0,Censor
5,0,0.014406171767353359,1,0,1.1580984550393276,1,Recurrent1
5,0.014406171767353359,0.34002353560537124,1,0,1.1580984550393276,1,Recurrent2
5,0.34002353560537124,0.757032169045907,1,0,1.1580984550393276,1,Recurrent3
5,0.757032169045907,0.9626524969209469,1,0,1.1580984550393276,1,Recurrent4
5,0.9626524969209469,1.329694330923627,0,1,1.1580984550393276,1,Failure
6,0,0.33279744578311143,0,1,1.292354845437879,0,Failure
7,0,0.03712047410184726,0,1,0.534647146132313,1,Failure
8,0,0.6650086138208016,1,0,-0.12703471920427958,0,Recurrent1
8,0.6650086138208016,0.6799721956431429,1,0,-0.12703471920427958,0,Recurrent2
8,0.6799721956431429,0.9656598195892754,1,0,-0.12703471920427958,0,Recurrent3
8,0.9656598195892754,1.3599145025188417,1,0,-0.12703471920427958,0,Recurrent4
8,1.3599145025188417,1.4992265232614084,1,0,-0.12703471920427958,0,Recurrent5
8,1.4992265232614084,1.5289822950495728,0,1,-0.12703471920427958,0,Failure
9,0,0.48692180946086044,0,1,-1.224875414469068,0,Failure
10,0,1.0520393101237966,1,0,-1.1213513021602912,1,Recurrent1
10,1.0520393101237966,1.2661198455915534,1,0,-1.1213513021602912,1,Recurrent2
10,1.2661198455915534,1.5762985288028155,1,0,-1.1213513021602912,1,Recurrent3
10,1.5762985288028155,1.7038446534079479,1,0,-1.1213513021602912,1,Recurrent4
10,1.7038446534079479,1.928092406509099,1,0,-1.1213513021602912,1,Recurrent5
10,1.928092406509099,3.182704692946479,0,1,-1.1213513021602912,1,Failure
11,0,0.007905481616035104,0,0,-1.6719250240929038,1,Censor
12,0,0.5100152497435956,1,0,0.4689179297838406,1,Recurrent1
12,0.5100152497435956,0.534926625828899,0,1,0.4689179297838406,1,Failure
13,0,0.8751879035985433,0,1,0.8321899064776265,0,Failure
14,0,0.6847356036176421,1,0,0.2930216051122144,0,Recurrent1
14,0.6847356036176421,0.9672531224553003,1,0,0.2930216051122144,0,Recurrent2
14,0.9672531224553003,1.0349767307606355,0,1,0.2930216051122144,0,Failure
15,0,0.009460533326424976,1,0,-3.2742858225576197,1,Recurrent1
15,0.009460533326424976,0.026794542102870945,1,0,-3.2742858225576197,1,Recurrent2
15,0.026794542102870945,0.0521746822031974,1,0,-3.2742858225576197,1,Recurrent3
15,0.0521746822031974,0.222587267285563,1,0,-3.2742858225576197,1,Recurrent4
15,0.222587267285563,0.4906707736357659,1,0,-3.2742858225576197,1,Recurrent5
15,0.4906707736357659,0.7586131216189109,0,1,-3.2742858225576197,1,Failure
16,0,0.18650307593458185,1,0,-0.14811075118461026,0,Recurrent1
16,0.18650307593458185,0.30966076417826116,0,0,-0.14811075118461026,0,Censor
17,0,0.003436128440912249,0,1,-0.9299387352746328,0,Failure
18,0,0.09268506613644899,1,0,0.4542143515681254,1,Recurrent1
18,0.09268506613644899,0.12698594365588284,1,0,0.4542143515681254,1,Recurrent2
18,0.12698594365588284,0.22802378131995926,1,0,0.4542143515681254,1,Recurrent3
18,0.22802378131995926,0.2581450084726987,1,0,0.4542143515681254,1,Recurrent4
18,0.2581450084726987,0.33809243215458756,1,0,0.4542143515681254,1,Recurrent5
18,0.33809243215458756,2.2269845745711954,0,1,0.4542143515681254,1,Failure
19,0,0.5811607834367567,1,0,-1.6061072406713675,0,Recurrent1
19,0.5811607834367567,0.7580946932694371,1,0,-1.6061072406713675,0,Recurrent2
19,0.7580946932694371,0.8640690972577638,1,0,-1.6061072406713675,0,Recurrent3
19,0.8640690972577638,1.234581694800387,1,0,-1.6061072406713675,0,Recurrent4
19,1.234581694800387,1.4569926181264745,1,0,-1.6061072406713675,0,Recurrent5
19,1.4569926181264745,1.7194817718296391,0,1,-1.6061072406713675,0,Failure
20,0,0.0920338744694525,0,1,-2.0114713287496686,0,Failure
21,0,0.39173748346985865,1,0,1.1399766339666213,0,Recurrent1
21,0.39173748346985865,0.445315786232965,1,0,1.1399766339666213,0,Recurrent2
21,0.445315786232965,0.653398649089472,1,0,1.1399766339666213,0,Recurrent3
21,0.653398649089472,0.7213092003799497,1,0,1.1399766339666213,0,Recurrent4
21,0.7213092003799497,0.8915892170213067,1,0,1.1399766339666213,0,Recurrent5
21,0.8915892170213067,2.5047613281469148,0,1,1.1399766339666213,0,Failure
22,0,0.027743384033884322,1,0,0.315702951821837,1,Recurrent1
22,0.027743384033884322,0.0623457660798324,1,0,0.315702951821837,1,Recurrent2
22,0.0623457660798324,0.08152126731980824,0,1,0.315702951821837,1,Failure
23,0,0.04751294401277831,1,0,1.0426861000003447,1,Recurrent1
23,0.04751294401277831,0.43908931091612624,1,0,1.0426861000003447,1,Recurrent2
23,0.43908931091612624,0.5023478394371221,1,0,1.0426861000003447,1,Recurrent3
23,0.5023478394371221,0.6288972608604427,1,0,1.0426861000003447,1,Recurrent4
23,0.6288972608604427,0.8821061378141849,1,0,1.0426861000003447,1,Recurrent5
23,0.8821061378141849,1.127524849262718,0,1,1.0426861000003447,1,Failure
24,0,0.024296252364565417,1,0,-0.21298249662589047,0,Recurrent1
24,0.024296252364565417,0.3909585538361086,1,0,-0.21298249662589047,0,Recurrent2
24,0.3909585538361086,0.5230615100464419,1,0,-0.21298249662589047,0,Recurrent3
24,0.5230615100464419,0.6145024875713301,0,1,-0.21298249662589047,0,Failure
25,0,1.1111706344330663,1,0,0.39710038164192213,0,Recurrent1
25,1.1111706344330663,1.1193029143057607,1,0,0.39710038164192213,0,Recurrent2
25,1.1193029143057607,1.1767620385713835,1,0,0.39710038164192213,0,Recurrent3
25,1.1767620385713835,1.1899793691428502,0,1,0.39710038164192213,0,Failure
26,0,0.2144842176720554,1,0,-1.5436525007112147,1,Recurrent1
26,0.2144842176720554,0.3161894261788664,1,0,-1.5436525007112147,1,Recurrent2
26,0.3161894261788664,0.7389364329090062,1,0,-1.5436525007112147,1,Recurrent3
26,0.7389364329090062,0.7746298896515956,1,0,-1.5436525007112147,1,Recurrent4
26,0.7746298896515956,1.0656073321046946,1,0,-1.5436525007112147,1,Recurrent5
26,1.0656073321046946,1.2284227870345885,0,1,-1.5436525007112147,1,Failure
27,0,0.574854136323796,1,0,-0.11819970164529613,0,Recurrent1
